Combination,Weight1,Weight2,10-Year Return
QQQ-SPY,0,10,202.5318529
QQQ-SPY,0,10,208.349692
QQQ-SPY,0,10,224.7059444
QQQ-SPY,0,10,226.7777898
QQQ-SPY,0,10,234.68761
QQQ-SPY,0,10,218.97578
QQQ-SPY,0,10,227.5092068
QQQ-SPY,0,10,232.2054023
QQQ-SPY,0,10,240.8077149
QQQ-SPY,0,10,235.5296073
QQQ-SPY,0,10,247.369797
QQQ-SPY,0,10,236.3487491
QQQ-SPY,0,10,246.8770018
QQQ-SPY,0,10,239.3919842
QQQ-SPY,0,10,259.1480749
QQQ-SPY,0,10,235.7197329
QQQ-SPY,0,10,222.0721452
QQQ-SPY,0,10,216.1705005
QQQ-SPY,0,10,232.3772059
QQQ-SPY,1,9,-26.97427483
QQQ-SPY,1,9,-22.33070547
QQQ-SPY,1,9,-16.00296934
QQQ-SPY,1,9,-20.61447854
QQQ-SPY,1,9,-11.99984119
QQQ-SPY,1,9,-9.018135388
QQQ-SPY,1,9,-3.746538188
QQQ-SPY,1,9,-11.61949137
QQQ-SPY,1,9,-8.605155244
QQQ-SPY,1,9,-13.13564895
QQQ-SPY,1,9,-12.45439226
QQQ-SPY,1,9,-10.07197042
QQQ-SPY,1,9,-12.32441192
QQQ-SPY,1,9,-6.701303059
QQQ-SPY,1,9,-11.7306706
QQQ-SPY,1,9,-18.81390117
QQQ-SPY,1,9,-11.6064945
QQQ-SPY,1,9,-21.33623868
QQQ-SPY,1,9,-8.268224552
QQQ-SPY,1,9,-3.358709015
QQQ-SPY,1,9,6.192363539
QQQ-SPY,1,9,14.46290244
QQQ-SPY,1,9,11.58919349
QQQ-SPY,1,9,29.99733598
